item_id,item_idx
1,1
2,2
3,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,29
31,30
32,31
34,32
36,33
39,34
40,35
41,36
42,37
43,38
44,39
45,40
46,41
47,42
48,43
50,44
52,45
53,46
54,47
55,48
57,49
58,50
60,51
61,52
62,53
63,54
65,55
66,56
68,57
69,58
70,59
72,60
73,61
74,62
76,63
77,64
78,65
79,66
80,67
81,68
82,69
85,70
86,71
88,72
89,73
92,74
93,75
94,76
95,77
97,78
99,79
100,80
101,81
102,82
104,83
105,84
106,85
107,86
108,87
110,88
111,89
112,90
113,91
116,92
121,93
122,94
123,95
125,96
132,97
135,98
140,99
141,100
144,101
145,102
146,103
147,104
148,105
150,106
151,107
153,108
154,109
155,110
156,111
157,112
158,113
159,114
160,115
161,116
162,117
163,118
164,119
165,120
166,121
168,122
170,123
171,124
172,125
173,126
174,127
175,128
176,129
177,130
180,131
181,132
183,133
184,134
185,135
186,136
187,137
188,138
190,139
191,140
193,141
194,142
195,143
196,144
198,145
199,146
203,147
204,148
205,149
206,150
207,151
208,152
209,153
210,154
211,155
212,156
213,157
214,158
215,159
216,160
217,161
218,162
222,163
223,164
224,165
225,166
227,167
229,168
230,169
231,170
232,171
233,172
234,173
235,174
236,175
237,176
238,177
239,178
241,179
242,180
246,181
247,182
248,183
249,184
250,185
252,186
253,187
255,188
256,189
257,190
258,191
259,192
260,193
261,194
262,195
263,196
265,197
266,198
267,199
270,200
271,201
272,202
273,203
274,204
276,205
277,206
280,207
281,208
282,209
283,210
284,211
285,212
288,213
289,214
290,215
292,216
293,217
296,218
299,219
300,220
301,221
302,222
303,223
304,224
305,225
306,226
307,227
308,228
313,229
314,230
315,231
316,232
317,233
318,234
319,235
321,236
322,237
324,238
325,239
326,240
327,241
328,242
329,243
330,244
332,245
333,246
334,247
335,248
337,249
338,250
339,251
340,252
341,253
342,254
343,255
344,256
345,257
346,258
347,259
348,260
349,261
350,262
351,263
353,264
354,265
355,266
356,267
357,268
361,269
362,270
363,271
364,272
365,273
366,274
367,275
368,276
369,277
370,278
371,279
372,280
373,281
374,282
376,283
377,284
379,285
380,286
381,287
382,288
383,289
385,290
388,291
389,292
390,293
393,294
408,295
410,296
412,297
413,298
415,299
416,300
417,301
419,302
420,303
421,304
422,305
423,306
425,307
426,308
427,309
428,310
430,311
431,312
432,313
433,314
434,315
435,316
436,317
438,318
440,319
441,320
442,321
444,322
445,323
446,324
448,325
450,326
451,327
452,328
453,329
454,330
455,331
456,332
457,333
461,334
464,335
466,336
467,337
468,338
469,339
471,340
474,341
475,342
477,343
480,344
481,345
482,346
484,347
485,348
486,349
487,350
490,351
491,352
492,353
493,354
494,355
495,356
496,357
497,358
500,359
501,360
502,361
505,362
506,363
507,364
508,365
509,366
511,367
512,368
513,369
514,370
515,371
516,372
517,373
519,374
520,375
522,376
523,377
524,378
526,379
527,380
529,381
531,382
532,383
533,384
534,385
535,386
536,387
537,388
538,389
539,390
540,391
541,392
542,393
543,394
547,395
548,396
549,397
550,398
551,399
552,400
553,401
555,402
556,403
558,404
562,405
563,406
568,407
569,408
574,409
575,410
580,411
581,412
583,413
585,414
586,415
587,416
588,417
589,418
590,419
592,420
593,421
594,422
595,423
596,424
597,425
599,426
600,427
602,428
605,429
606,430
608,431
609,432
610,433
611,434
613,435
616,436
617,437
619,438
626,439
627,440
628,441
631,442
632,443
633,444
637,445
639,446
640,447
645,448
647,449
648,450
650,451
653,452
656,453
661,454
662,455
663,456
665,457
667,458
668,459
670,460
671,461
673,462
674,463
678,464
679,465
680,466
685,467
688,468
691,469
692,470
694,471
695,472
700,473
704,474
707,475
708,476
709,477
711,478
714,479
715,480
718,481
719,482
720,483
722,484
724,485
728,486
731,487
733,488
735,489
736,490
737,491
741,492
742,493
743,494
745,495
747,496
748,497
750,498
757,499
759,500
760,501
761,502
762,503
764,504
765,505
766,506
778,507
779,508
780,509
781,510
782,511
783,512
784,513
785,514
786,515
788,516
791,517
795,518
798,519
799,520
800,521
801,522
802,523
803,524
804,525
805,526
808,527
809,528
810,529
813,530
818,531
824,532
828,533
829,534
830,535
832,536
833,537
835,538
836,539
837,540
838,541
839,542
840,543
842,544
848,545
849,546
851,547
852,548
858,549
861,550
866,551
869,552
876,553
879,554
880,555
886,556
889,557
891,558
892,559
893,560
897,561
898,562
899,563
900,564
